input_sequence,output_sequence,fold_predictions_ft,fold_predictions_zs,fold_predictions_ft_rouge,fold_predictions_zs_rouge,fold
"A[:, -2:]",get the maximum 2 values per row in array `A`,get a new string including the last two characters of string `A`,A. slice,0.2727272727272727,0.16666666666666669,0
"re.match('[a-zA-Z][\\w-]*\\Z', 'A\n')",Match regex '[a-zA-Z][\\w-]*\\Z' on string 'A\n',match regex pattern '[a-zA-Z]*' with regex pattern '[a-,A string is a word or a word - only word.,0.5714285714285713,0.28571428571428564,0
"print(sorted(L, key=lambda x: int(x.split('.')[2])))",sort a list `L` by number after second '.',sort list `L` by value in ascending order,prints the list of integers,0.5,0.15384615384615385,0
"[x for x in a if x != [1, 1]]","remove all instances of `[1, 1]` from a list `a`","remove all values from a list `[1, 1, 1]` from a list `",Returns a list of the values in a.,0.7272727272727272,0.4444444444444445,0
"jsobj['a']['b']['e'].append({'f': var6, 'g': var7, 'h': var8})","append dict `{'f': var6, 'g': var7, 'h': var8}` to value of key `e` in dict `jsobj['a']['b']`",append dictionary `{'a']['b']['e' to `jsobj`,Add the element to the list of elements.,0.48,0.15384615384615383,0
"open(filename, 'w').close()",erase all the contents of a file `filename`,How to erase the file contents of a file in Python?,Write the file to disk.,0.631578947368421,0.3076923076923077,0
pprint(dict(list(o.items()))),pretty-print ordered dictionary `o`,print items in dictionary `o`,Pretty - prints the object.,0.6,0.22222222222222224,0
df.sort_values(by='Date'),Sort Pandas Dataframe by Date,sort dataframe `df` by column 'Date' in ascending and column ',Sort DataFrame by date,0.5333333333333333,0.888888888888889,0
d.decode('cp1251').encode('utf8'),How to convert a string from CP-1251 to UTF-8?,convert a string `d` to utf-8 encoded string,d. decode to utf8,0.6,0.13333333333333333,0
print(' '.join([str(ord(a)) for a in data])),Return the decimal value for each hex character in data `data`,convert list of tuples `a` to a string,Print the string representation of the numbers in the order of their ordinal value.,0.0,0.23999999999999996,0
{{car.date_of_manufacture.strftime('%Y-%m-%d')}},Get the date object `date_of_manufacture` of object `car` in string  format '%Y-%m-%d',format the date string '{{car.date_of_manufacture},{{car. date_of_manufacture. strftime,0.6666666666666666,0.38095238095238093,0
"df.apply(lambda x: x.fillna(x.mean()), axis=0)",replace nan values in a pandas data frame with the average of columns,replace NaN values in a pandas data frame `df` with the mean of column `na`,Fill missing values in the DataFrame.,0.7857142857142856,0.3157894736842105,0
"user = models.ForeignKey('User', unique=True)",django create a foreign key column `user` and link it to table 'User',django associate zero or more unique values in Django model `models`,User model.,0.08333333333333334,0.13333333333333336,0
"re.sub('\\s{2,}', '|', line.strip())",substitute two or more whitespace characters with character '|' in string `line`,remove newline in string `line` using a generator,Replace all spaces with |,0.3157894736842105,0.13333333333333333,0
datetime.datetime.fromtimestamp(myNumber).strftime('%Y-%m-%d %H:%M:%S'),Convert long int `myNumber` into date and time represented in the the string format '%Y-%m-%d %H:%M:%S',convert a datetime object `myNumber` to a datetime object,This is a hack to get the datetime string from a timestamp,0.13793103448275865,0.125,0
df.isnull().values.any(),check if datafram `df` has any NaN vlaues,get a list of all values in a pandas dataframe `df` that are NaN values,Returns true if any of the columns in the DataFrame are null.,0.1739130434782609,0.2,0
"re.findall('\\d+(?=[^[]+$)', s)",get all digits in a string `s` after a '[' character,match regex pattern '\\d+(?=[A-Z,Find all numbers in the string,0.125,0.37499999999999994,0
"int('1,000,000'.replace(',', ''))","parse a comma-separated string number '1,000,000' into int","convert a string '1,000,000' to a string",1 2 3 4 5 5 6 6 7,0.5,0.09999999999999999,0
""""""","""""".join(trans['category'])","join together with "","" elements inside a list indexed with 'category' within a dictionary `trans`",convert a list of strings `trans` into a string,Category name.,0.34782608695652173,0.125,0
"pickle.dump(itemlist, outfile)",serialize `itemlist` to file `outfile`,python save list `itemlist` to file `outfile`,pickle - dumps the list of items to a file.,0.6666666666666666,0.2857142857142857,0
datetime.datetime.today().strftime('%Y-%m-%d'),Getting today's date in YYYY-MM-DD,format datetime object `datetime` with format '%Y-%m-%d %,Returns the current date in YYYY - MM - DD format.,0.0,0.5882352941176471,0
"my_float = float(my_string.replace(',', ''))",convert a string `my_string` with dot and comma into a float number `my_float`,convert a string of numbers `my_string` to a float number,Convert my string to float,0.6153846153846153,0.4,0
"time.strftime('%l:%M%p %z on %b %d, %Y')",display current time in readable format,print current date and time in a regular format,Returns the current time as a string.,0.5333333333333333,0.30769230769230765,0
"x.insert(2, 77)",insert 77 to index 2 of list `x`,Insert a new string `x` into a new string including the first two characters of string `,x. insert 2 77,0.25,0.6666666666666666,0
x[:-1] + (x[1:] - x[:-1]) / 2,get an array of the mean of each two consecutive values in numpy array `x`,subtract the last element of list `x` from the element,Return x with the last character removed.,0.24,0.18181818181818182,0
"print(', ,'.join([str(i[0]) for i in mytuple]))",print each first value from a list of tuples `mytuple` with string formatting,convert list of tuples `L` into a string,prints the first element of a list,0.4761904761904762,0.4,0
""""""""""""".join('{}{}'.format(key, val) for key, val in list(adict.items()))",convert dictionary `adict` into string,format string `key` with string formatting,Returns a string with the given key.,0.1818181818181818,0.16666666666666666,0
"re.findall('[-+]?\\d*\\.\\d+|\\d+', 'Current Level: -13.2 db or 14.2 or 3')",extract floating point numbers from a string 'Current Level: -13.2 db or 14.2 or 3',find all the patterns that matches the pattern '\\d*\\.\\d' in string `text,Find all numbers and numbers in the string,0.06666666666666667,0.15999999999999998,0
s = s.rstrip(),trim whitespace (including tabs) in `s` on the right side,remove newline in string `s` on the right side,Remove trailing whitespace from the string,0.631578947368421,0.25,0
"raise ValueError('represents a hidden bug, do not catch this')","throw a ValueError with message 'represents a hidden bug, do not catch this'","check if string'represents a hidden bug, do not catch this exception",This is a bug in the code that is not a bug in the code.,0.64,0.3571428571428571,0
my_dict.update({'third_key': 1}),add an item with key 'third_key' and value 1 to an dictionary `my_dict`,update dictionary `my_dict` with value of key 'thth_key',Update the dictionary with the third key.,0.56,0.36363636363636365,0
print(data.encode('hex')),encode string `data` using hex 'hex' encoding,encode string `data` as `hex`,Print the data to stdout.,0.6666666666666666,0.16666666666666666,0
"max_item = max(a_list, key=operator.itemgetter(1))",get the tuple in list `a_list` that has the largest item in the second index,Get maximum item in list `a_list` by splitting each item in list `a_,Returns the maximum item in a list.,0.4666666666666667,0.43478260869565216,0
"ctypes.windll.user32.MessageBoxW(0, 'Error', 'Error', 0)",throw an error window in python in windows,check if a user is in a group 'user32',Display a message box in the current user s browser.,0.11764705882352941,0.11111111111111112,0
"re.findall('TAA(?:[ATGC]{3})+?TAA', seq)",match regex pattern 'TAA(?:[ATGC]{3})+?TAA' on string `seq`,find all the matches of regex pattern 'TAA(?:[ATGC]?',Find TAA and TAA,0.4210526315789474,0.28571428571428575,0
"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)",reverse sort items in default dictionary `cityPopulation` by the third item in each key's list of values,sort list `cityPopulation` by value in ascending order,Returns a sorted list of city population items.,0.3846153846153846,0.23076923076923078,0
data[data['Value'] == True],extract all rows from dataframe `data` where the value of column 'Value' is True,get the first value from a list `data` if the value of the key 'Value',True if the value is true,0.4137931034482759,0.4,0
urllib.parse.unquote(h.path.encode('utf-8')).decode('utf-8'),decode encodeuricomponent in GAE,unquote a urlencoded url string `h`,URL - encode the path,0.0,0.0,0
raise ValueError('A very specific bad thing happened'),manually throw/raise a `ValueError` exception with the message 'A very specific bad thing happened',check if string `A very specific bad thing happened` exists,This is a very specific thing that we can t do.,0.48,0.30769230769230765,0
[int(d) for d in str(bin(x))[2:]],create a list containing the digits values from binary string `x` as elements,convert list of binary values `x` to binary list,x = > x,0.3636363636363637,0.13333333333333336,0
T = [L[i] for i in Idx],index a list `L` with another list `Idx`,Get a list of tuples `T` by concatenating each element in list `Idx`,T = L.,0.380952380952381,0.2,0
df.columns[df.max() > 0],drop all columns in dataframe `df` that holds a maximum value bigger than 0,get maximum column name in dataframe `df`,Returns the columns of the dataframe that are greater than or equal to the maximum value.,0.38095238095238093,0.39999999999999997,0
[sum([x[1] for x in i]) for i in data],summing the second item in a list of lists of lists,get a list of sums of the first two elements of list `i`,Sums the values of all the elements in the array.,0.41666666666666663,0.28571428571428564,0
"re.match('[a-zA-Z][\\w-]*$', '!A_B')",match regex '[a-zA-Z][\\w-]*$' on string '!A_B',match regex pattern '[a-zA-Z]*' with regex pattern '[a-,A string is a word or a word - only word.,0.6,0.3,0
"[(x + tuple(y)) for x, y in zip(zip(a, b), c)]","zip list `a`, `b`, `c` into a list of tuples",append elements of list `a` to elements of list `b`,Concatenate two lists of tuples.,0.5,0.26666666666666666,0
"os.chmod('my_script.sh', 484)",Change the mode of file 'my_script.sh' to permission number 484,set the permission of script'my_script.sh' to '484',Change the permissions of my_script. sh to 484,0.7272727272727272,0.761904761904762,0
all(df.index[:-1] <= df.index[1:]),check if a pandas dataframe `df`'s index is sorted,check if all rows in dataframe `df` are less than the first row,Returns true if all values are in the DataFrame.,0.34782608695652173,0.2105263157894737,0
"re.sub('^[A-Z0-9]*(?![a-z])', '', string)",python regex - check for a capital letter with a following lowercase in string `string`,Remove all non-alphanumeric characters from string `text`,Remove all non - alphanumeric characters from the string.,0.09090909090909091,0.09090909090909091,0
"[(x, y) for x, y in zip(myList, myList[1:]) if y == 9]","create a list of tuples which contains number 9 and the number before it, for each occurrence of 9 in the list 'myList'",create a list containing the zipped list of tuples `a` and `b`,Returns a list of tuples.,0.4571428571428571,0.2857142857142857,0
x[::-1],Reverse list `x`,get a new string including the last two characters of string `x`,x. length x + 1,0.13333333333333333,0.28571428571428575,0
list(set('aaabcabccd')),get list of all unique characters in a string 'aaabcabccd',check if a list `aaababccd` is in a list `['aaab,List of all aa - abc - ccd.,0.3,0.37499999999999994,0
{{json.key1}},lookup dictionary key `key1` in Django template `json`,{{json.key1}}}}},{{{ 1. key1,0.4,0.2,0
arr[arr != 0].min(),find the minimum value in a numpy array `arr` excluding 0,get the number of rows in a pandas dataframe `arr` excluding the first value,Returns the minimum value in the array.,0.4799999999999999,0.5555555555555556,0
"ut.sort(key=lambda x: x.count, reverse=True)",sort a list of objects `ut` in reverse order by their `count` property,sort list `ut` by the count of occurrences of the pattern 'count',sorts the ut,0.48000000000000004,0.125,0
"l.sort(key=lambda x: (x['title'], x['title_url'], x['id']))","sort a list of dictionaries by the value of keys 'title', 'title_url', 'id' in ascending order.",sort a list of dictionary `l` by the key 'title' in ascending order,sorts the list by title,0.6666666666666667,0.3636363636363636,0
date.today().strftime('%A'),Get day name from a datetime object,get month name of the datetime `date`,Returns the current date as a string.,0.42857142857142855,0.14285714285714285,0
"cursor.execute('INSERT INTO index(url) VALUES(%s)', (url,))",adding url `url` to mysql row,insert row into mysql database with row with index of the row,Insert url into index.,0.2222222222222222,0.2,0
"output = subprocess.Popen(['mycmd', 'myarg'], stdout=PIPE).communicate()[0]",How to get output of exe in python script?,set the stdin of the process'mycmd' to be 'one\ntwo,Run mycmd in a subprocess,0.19999999999999998,0.14285714285714285,0
results_union = set().union(*results_list),get the union set from list of lists `results_list`,create a list `results_union` containing the union of each list `results_list`,Returns the union of the results_list and the results_list.,0.5217391304347826,0.5714285714285713,0
"[i for i, j in enumerate(myList) if 'how' in j.lower() or 'what' in j.lower()]",finding the index of elements containing substring 'how' and 'what' in a list of strings 'myList'.,get indexes of a list `myList` where the value is greater than `2`,List of all items in myList,0.3448275862068966,0.36363636363636365,0
print([y for x in list(dict.items()) for y in x]),convert dictionary `dict` into a flat list,iterate over a dictionary `dict` in list `list`,prints the values of the dictionary,0.5333333333333333,0.15384615384615383,0
"re.compile('XYZ', re.IGNORECASE).split('fooxyzbar')",split string 'fooxyzbar' based on case-insensitive matching using string 'XYZ',split string `XYZ` by white spaces and split it,Parse XYZ to a list of strings,0.3,0.1111111111111111,0
"file = open('Output.txt', 'a')",open a file `Output.txt` in append mode,"write line ""Hello"" to file ""Output.txt""",Open Output. txt,0.39999999999999997,0.5454545454545454,0
txt = open('file.txt').read(),read the contents of the file 'file.txt' into `txt`,read file 'file.txt',Read the text file.,0.5714285714285715,0.4285714285714285,0
"plt.savefig('graph.png', dpi=1000)",save current figure to file 'graph.png' with resolution of 1000 dpi,save image `graph.png` with resolution of 1000,Plot the graph as a png,0.7000000000000001,0.2222222222222222,0
"pd.concat((df1, df2), axis=1).mean(axis=1)",merge rows from dataframe `df1` with rows from dataframe `df2` and calculate the mean for rows that have the same value of axis 1,concat two dataframes `df1` and `df2` along the second axis,concat df1 and df2,0.29411764705882354,0.21428571428571427,0
"ut.sort(key=cmpfun, reverse=True)","sort a list of objects `ut`, based on a function `cmpfun` in descending order",sort a list `ut` by second element,sorts the ut array in ascending order,0.38095238095238093,0.2857142857142857,0
df.loc[df['column_name'] != some_value],select rows whose column value in column `column_name` does not equal `some_value` in pandas data frame,get the value of column 'column_name' in dataframe `df` that column 'column,Filter out columns that are not in some_columns.,0.3870967741935484,0.2222222222222222,0
os.environ['HOME'],"Access environment variable ""HOME""",get the value of the variable 'HOME',Returns the home directory of the current process.,0.36363636363636365,0.16666666666666666,0
"print(''.join(map(str, data)))",convert list `data` into a string of its elements,print elements of list `data` as thousands separators,Print the data to stdout.,0.47058823529411764,0.14285714285714285,0
"""""""didn't"""""".replace(""'"", '')","replace single quote character in string ""didn't"" with empty string ''",remove all spaces from a string `didn't`,Return a string that is the string that was not called.,0.3157894736842105,0.18181818181818182,0
pd.read_json(elevations),read json `elevations` to pandas dataframe `df`,convert list of tuples `elevations` into json object,Read elevations from JSON file.,0.26666666666666666,0.5,0
"result.replace('\\', '')",remove backslashes from string `result`,"replace all characters in string `result` with '\\', '",Replace all non - backslash characters with backslash.,0.3333333333333333,0.0,0
"re.findall('(?::|;|=)(?:-)?(?:\\)|\\(|D|P)', s)",fetch smilies matching regex pattern '(?::|;|=)(?:-)?(?:\\)|\\(|D|P)' in string `s`,find all matches of regex pattern '(?::|;|=)',Find all the elements in the string.,0.25,0.23529411764705882,0
s.split('s'),split string `s` by letter 's',Split a string `s` by space with `s`,Split the string into a list of strings,0.7142857142857143,0.28571428571428575,0
"res = dict((k, v) for k, v in kwargs.items() if v is not None)",get rid of None values in dictionary `kwargs`,Create a dictionary `a` by concatenating keys with values in list `b,Returns a new dictionary with all keys and values.,0.3,0.23529411764705882,0
"""""""{0}\\w{{2}}b{1}\\w{{2}}quarter"""""".format('b', 'a')","format parameters 'b' and 'a' into plcaeholders in string ""{0}\\w{{2}}b{1}\\w{{2}}quarter""",format string '{0}\\w{{1}b{1},A string that is escaped with a backslash.,0.5,0.15999999999999998,0
"dogtail.rawinput.click(100, 100)",control the keyboard and mouse with dogtail in linux,click on a raw input `dogtail` with 100 values of the,click on the raw input,0.3,0.14285714285714285,0
"for i in range(0, 10, 2):
    pass",loop through 0 to 10 with step 2,"iterate over a range of 0, 10,2`",Generate a sequence of tokens.,0.375,0.0,0
"[val for pair in zip(l1, l2) for val in pair]",combine lists `l1` and `l2`  by alternating their elements,merge lists `l1` and `l2` into a list of tuples,Returns the values of the left and right lists.,0.4210526315789474,0.2222222222222222,0
"parsed_html = BeautifulSoup(html)
print(parsed_html.body.find('div', attrs={'class': 'container', }).text)",Parsing HTML string `html` using BeautifulSoup,convert a html `html` to a beautiful object,Parse html and print it.,0.28571428571428575,0.1818181818181818,0
alpha = img.split()[-1],get alpha value `alpha` of a png image `img`,get the last element of string `img`,get the alpha value of the image,0.375,0.6250000000000001,0
webbrowser.open('file:///my_pdf.pdf'),display a pdf  file that has been downloaded as `my_pdf.pdf`,open the login site 'file:///my_pdf.pdf',Open the PDF in a browser,0.4,0.2222222222222222,0
importlib.import_module('a.b.c'),import a module 'a.b.c' with importlib.import_module in python 2,import module 'a.b.c' from module 'a.b.c',Import a module,0.608695652173913,0.375,0
"df.groupby('prots').sum().sort('scores', ascending=False)",How to sort a Dataframe by the ocurrences in a column in Python (pandas),sort dataframe `df` by values for column `scores`,Sort the scores by prots,0.36363636363636365,0.3157894736842105,0
list(cf.get_range().get_keys()),get a list of all keys in Cassandra database `cf` with pycassa,get a list of keys in a list `cf`,List all keys in the current range,0.6666666666666666,0.4210526315789474,0
"b = {a[i]: a[i + 1] for i in range(0, len(a), 2)}","convert a list 'a' to a dictionary where each even element represents the key to the dictionary, and the following odd element is the value",create a dictionary `b` by adding each two adjacent elements in list `a`,Get the next element in the array.,0.2631578947368421,0.1875,0
"print(os.environ.get('HOME', '/home/username/'))",get value of the environment variable 'HOME' with default value '/home/username/',get the value of variable `home` from a python script.,Prints the current user s home directory.,0.5454545454545454,0.2105263157894737,0
list(itertools.product(*a)),get all possible combination of items from 2-dimensional list `a`,create a list containing all cartesian products of elements in list `a`,Return a list of the elements in the iterable.,0.34782608695652173,0.3,0
list(x.keys()).index('c'),get index of key 'c' in dictionary `x`,find the index of a key 'c' in dictionary `x`,returns the index of the c in x,0.7777777777777777,0.625,0
"f = open('words.txt', 'rU')",open the file 'words.txt' in 'rU' mode,read a text file 'words.txt',Open the words. txt file and read it into memory.,0.42857142857142855,0.5555555555555556,0
df.to_pickle(file_name),"store data frame `df` to file `file_name` using pandas, python",convert dataframe `df` to a pickle file,Write the dataframe to a pickle file.,0.33333333333333326,0.2222222222222222,0
"plt.rc('font', **{'size': '30'})",change the size of the sci notation to '30' above the y axis in matplotlib `plt`,set font size to '30' in matplotlib,Set the font size to 30,0.43478260869565216,0.36363636363636365,0
"driver.find_element_by_css_selector(""input[onclick*='1 Bedroom Deluxe']"")","find element by css selector ""input[onclick*='1 Bedroom Deluxe']""",python selenium click on button,Finds an input element by css selector,0.0,0.588235294117647,0
"line = line.replace(';', ':')",Replace `;` with `:` in a string `line`,remove newline in string `line`,Replace ; with colon and remove colon,0.5454545454545454,0.3333333333333333,0
"[[x, l.count(x)] for x in set(l)]",count the occurrences of items in list `l`,count the number of occurrences of a list `l` in a list of lists `set`,Returns a list of the number of elements in the set.,0.608695652173913,0.4210526315789474,0
"re.sub('[^\\x00-\\x7F]+', ' ', text)",Replace non-ASCII characters in string `text` with a single space,remove all non-alphanumeric characters from string `text`,Remove all non - ASCII characters from the string.,0.4210526315789474,0.4210526315789474,0
re.compile('{}-\\d*'.format(user)),regular expression for validating string 'user' containing a sequence of characters ending with '-' followed by any number of digits.,regular expression match nothing,Compile a regex to match a user number.,0.17391304347826086,0.22222222222222218,0
sum(i * i for i in l),sum of squares values in a list `l`,sum the products of each two adjacent elements of list `l`,Sums the values of the list.,0.4210526315789474,0.42857142857142855,0
Book.objects.create(**d),update the fields in django model `Book` using dictionary `d`,Create a record `Book` with the contents of the object `Book.objects`,Create a book,0.1818181818181818,0.15384615384615383,0
"dict(((x, l.count(x)) for x in set(l)))",count the occurrences of items in list `l`,count the number of times a key `l` occurred in a list `l`,Returns a dictionary of the number of occurrences of each element in the list.,0.5714285714285714,0.45454545454545453,0
"re.findall('[bcdfghjklmnpqrstvwxyz]+', 'CONCERTATION', re.IGNORECASE)",find consecutive consonants in a word `CONCENTRATION` using regex,find all matches of regex pattern '[bcdfghjklm],Find all the tags in the document.,0.25,0.25,0
"df.div(df.sum(axis=1), axis=0)",normalize a pandas dataframe `df` by row,divide rows of dataframe `df` along the first axis,Divide DataFrame by sum of all values.,0.25,0.2857142857142857,0
"pd.concat(map(pd.DataFrame, iter(d.values())), keys=list(d.keys())).stack().unstack(0)",Create a pandas dataframe of values from a dictionary `d` which contains dictionaries of dictionaries,concatenate a series `d` into a dataframe `d`,concatenate d d s,0.3478260869565218,0.10526315789473685,0
"super(ChildClass, self).__init__(*args, **kwargs)",call base class's __init__ method from the child class `ChildClass`,Call a base class's class class constructor with arguments `args` and `self`,Initialize a ChildClass with the given arguments.,0.41666666666666663,0.2222222222222222,0
df.dropna(subset=[1]),"Drop rows of pandas dataframe `df` having NaN in column at index ""1""",drop the NaN values in dataframe `df`,Drops the missing values from the DataFrame.,0.5,0.1,0
"print(re.search('>.*<', line).group(0))",search for occurrences of regex pattern '>.*<' in xml string `line`,match regex pattern '>.*<' in string `line`,Print the group of the line,0.625,0.25,0
"re.findall('\\b[A-Z]', formula)",Find all words containing letters between A and Z in string `formula`,match regex pattern '\\b[A-Z]*' with regex,Find all non - alphanumeric characters in a string.,0.2,0.5,0
binascii.a2b_hex(s),convert a string `s` containing hex bytes to a hex string,convert a string `s` to binary,Convert a string to binary hexadecimal.,0.5882352941176471,0.4705882352941177,0
df['A_perc'] = df['A'] / df['sum'],create new column `A_perc` in dataframe `df` with row values equal to the value in column `A` divided by the value in column `sum`,divide the values in column `A` from values in a pandas dataframe `df`,A perc = A,0.47368421052631576,0.21428571428571425,0
"img = Image.open('picture.jpg')
Img.show","Open image ""picture.jpg""",load image 'picture.jpg' into array,Get picture image,0.6,0.5714285714285715,0
"datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%m/%d/%y')",How to convert a date string '2013-1-25' in format '%Y-%m-%d' to different format '%m/%d/%y',convert a DateTime string '2011-1-25' to a DateTime object,2016 - 01 - 25,0.3870967741935483,0.08695652173913045,0
[k for k in lst if 'ab' in k],filtering out strings that contain 'ab' from a list of strings `lst`,remove all items from a list `lst` whose values have the key 'ab',return list of ab,0.4,0.375,0
"levels = [{}, {}, {}]",create list `levels` containing 3 empty dictionaries,declare an array `levels` of size 3,The levels of the log file.,0.2857142857142857,0.15384615384615383,0
"df['date'] = pd.to_datetime(df['date'], format='%d%b%Y')",convert date strings in pandas dataframe column`df['date']` to pandas timestamps using the format '%d%b%Y',convert dataframe `df` to datetime object,Date is converted to datetime,0.3333333333333333,0.1739130434782609,0
"'used\u200b'.replace('\u200b', '*')",replacing  '\u200b' with '*' in a string  using regular expressions,replace each string in string 'used\u200b' with 'u',Returns the used string.,0.4444444444444444,0.15384615384615383,0
request.url,retrieve the path from a Flask request,get the url of the current url in django,URL of the request.,0.125,0.36363636363636365,0
"soup.select('div[id^=""value_xxx_c_1_f_8_a_""]')",select `div` tags whose `id`s begin with `value_xxx_c_1_f_8_a_`,select all `soup` tags whose id is equal to 'value_xxx',Select the value_xxx div.,0.4615384615384615,0.4,0
bytes.fromhex('4a4b4c').decode('utf-8'),decode a hex string '4a4b4c' to UTF-8.,convert hex string '4a4b4c' to bytes,Decodes a hex string to a byte array.,0.5714285714285715,0.5,0
result = db.engine.execute('<sql here>'),execute raw sql queue '<sql here>' in database `db` in sqlalchemy-flask app,Execute SQL statement'sql here' with parameters `result`,execute sql here,0.380952380952381,0.375,0
"Employees.objects.values_list('eng_name', flat=True)",django return a QuerySet list containing the values of field 'eng_name' in model `Employees`,select a list of values `eng_name` from a Django model `Employees`,Get all employees,0.6666666666666665,0.1111111111111111,0
browser.find_element_by_class_name('section-select-all').click(),click on the text button 'section-select-all' using selenium python,python selenium click on button,Finds the section element.,0.625,0.26666666666666666,0
"[k for k, v in dictA.items() if v.count('duck') > 1]",Get a list of all keys from dictionary `dictA` where the number of occurrences of value `duck` in that key is more than `1`,convert dictionary `dictA` to a list of keys,Returns a list of all keys in dictA.,0.375,0.43750000000000006,0
L.reverse(),reverse a list `L`,reverse sort list `L`,Reverses the order of the elements in the list.,0.75,0.15384615384615383,0
"d.apply(lambda row: min([row['A'], row['B']]) - row['C'], axis=1)",use operations like max/min within a row to a dataframe 'd' in pandas,find the greatest value in list `d` for key `A` in list `,Returns the minimum value of each row in the matrix.,0.23076923076923075,0.16666666666666666,0
"""""""Day old bread, 50% sale {0}"""""".format('today')","replace fields delimited by braces {} in string ""Day old bread, 50% sale {0}"" with string 'today'","format string ""Day old bread, 50%sale {0}"" into a",Day old bread 50% sale,0.5384615384615384,0.47619047619047616,0
print(os.environ),print all environment variables,print the current python script,Print the current environment,0.22222222222222224,0.5,0
rows = soup.findAll('tr')[4::5],BeautifulSoup find all 'tr' elements in HTML string `soup` at the five stride starting from the fourth element,find all rows of a list `tr` whose values are `4::5`,Find all rows in a table,0.2,0.25,0
"numpy.append(a, a[0])",append the first element of array `a` to array `a`,append the element in array `a` to the element at index 0,Append a vector to the end of a numpy array.,0.5454545454545454,0.7,0
len(list(yourdict.keys())),get number of keys in dictionary `yourdict`,get the size of dictionary `yourdict`,Returns the number of keys in the dictionary.,0.6153846153846153,0.6666666666666666,0
json.load(u),decode JSON string `u` to a dictionary,convert a urllib string `u` to json object,Load JSON string into a Python object,0.6666666666666666,0.42857142857142855,0
print(df.loc[df['A'] == 'foo']),select rows of dataframe `df` whose value for column `A` is `foo`,get the first value from dataframe `df` where column 'A' is equal to,Print the data frame in a readable format.,0.48000000000000004,0.1,0
"re.findall('abc(de)fg(123)', 'abcdefg123 and again abcdefg123')",match regex 'abc(de)fg(123)' on string 'abcdefg123 and again abcdefg123',get all the matches of a regex pattern 'abc(de)',Find all abc and fg,0.2727272727272727,0.35294117647058826,0
"df[['A', 'B']].multiply(df['C'], axis='index')",multiply column 'A' and column 'B' by column 'C' in datafram `df`,multiply values in column `A` with values in column `B` in pandas,A - > B,0.5,0.2857142857142857,0
tuple(l),Convert list `t` to tuple,convert a list of tuples `l` into a tuple,l is a list of integers,0.42857142857142855,0.1818181818181818,0
"datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%-m/%d/%y')",convert a date string '2013-1-25' in format '%Y-%m-%d' to different format '%-m/%d/%y',convert a DateTime string '2011-1-25' to a DateTime object,2016 - 01 - 25,0.41379310344827586,0.09523809523809525,0
Counter(l),count the occurrences of items in list `l`,identify duplicate values in list `l`,Counter is a counter that counts the number of times a given event occurs.,0.42857142857142855,0.18181818181818182,0
new_list = [x.split()[-1] for x in Original_List],get a list of last trailing words from another list  of strings`Original_List`,split a string `new_list` into a list of strings,This function will return a list of strings.,0.41666666666666663,0.36363636363636365,0
"data['City'].encode('ascii', 'ignore')","encode value of key `City` in dictionary `data` as `ascii`, ignoring non-ascii characters",encode string `data` to ascii,Encode city.,0.3157894736842105,0.25,0
df.toPandas().to_csv('mycsv.csv'),export a table dataframe `df` in pyspark to csv 'mycsv.csv',write dataframe `df` to csv file'mycsv.csv',Export the dataframe to a CSV file.,0.631578947368421,0.5555555555555556,0
"{f[i + 1]: [f[i], f[i + 2]] for i in range(0, len(f), 3)}","Make a dictionary from list `f` which is in the format of four sets of  ""val, key, val""",split dictionary `f` into a dictionary of tuples,Returns the next element in the list.,0.30769230769230765,0.24,0
raise RuntimeError('specific message'),throw a runtime error with message 'specific message',raise a RuntimeError with a message of type'specific message',Raise a runtime exception,0.5555555555555556,0.3333333333333333,0
"""""""Boat.txt.txt"""""".replace('.txt', '')",strip the string `.txt` from anywhere in the string `Boat.txt.txt`,replace text `Boat.txt.txt` with '.',Boat. txt. txt,0.3333333333333333,0.4,0
"quadmesh.set_clim(vmin=0, vmax=15)",Set colorbar range from `0` to `15` for pyplot object `quadmesh` in matplotlib,"set the size of the array `quadmesh` to `0, 1`",Set the clim of the quadmesh.,0.34782608695652173,0.21052631578947367,0
"os.rename(src, dst)",Rename file from `src` to `dst`,rename file `src` to `dst`,Rename src to dst,0.9090909090909091,0.8,0
df.groupby('type').apply(lambda x: np.mean(np.log2(x['v']))),apply function `log2` to the grouped values by 'type' in dataframe `df`,apply two different groupby and agg operations `type` to a pandas data frame `df`,Group by type,0.30769230769230765,0.26666666666666666,0
len(my_tuple),Getting the length of `my_tuple`,get the size of list `my_tuple`,Returns the number of elements in the tuple.,0.6153846153846153,0.42857142857142855,0
"print([''.join(a) for a in combinations(['hel', 'lo', 'bye'], 2)])","generate all possible string permutations of each two elements in list `['hel', 'lo', 'bye']`",generate a list of all possible combinations of elements in string `a`,Print all possible combinations of numbers.,0.6153846153846153,0.3,0
"for item in thelist:
    thefile.write(('%s\n' % item))",writing items in list `thelist` to file `thefile`,write list `thelist` to file `thefile`,Write the list of all the items in the list to a file.,0.7142857142857143,0.4761904761904762,0
