input_sequence,output_sequence,fold_predictions_ft,fold_predictions_zs,fold_predictions_ft_rouge,fold_predictions_zs_rouge,fold
df.colour.value_counts().plot(kind='bar'),plot a bar graph from the column 'color' in the DataFrame 'df',plotting stacked barplots on a panda data frame,Plots the colour counts of the columns in the DataFrame.,0.1,0.3636363636363636,0
"pd.concat([students, pd.DataFrame(marks)], axis=1)",concatenate a series `students` onto a dataframe `marks` with pandas,create a pandas data frame from list of dictionaries `students` and `marks`,A dataframe with all the students and marks.,0.3636363636363636,0.5555555555555556,0
"""""""42 0"""""".split()",split a string `42 0` by white spaces.,"split string ""42 0"" based on delimiter ','",42 0 42 0 42 42 42 42 42 42 42 42 42 42 42 42 42 42 42,0.5333333333333333,0.14814814814814814,0
[y for x in list(dict.items()) for y in x],Convert a dictionary `dict` into a list with key and values as list items.,Get a list of all keys from a dictionary `dict` where the number of occurrences of,Returns a list of all the values in the dictionary.,0.3333333333333333,0.3333333333333333,0
"json.loads(request.POST.get('mydata', '{}'))",Create a default empty json object if no json is available in request parameter `mydata`,load a json data'mydata' from a GET request.,Get the data from the server,0.33333333333333337,0.0,0
"time.mktime(datetime.datetime.strptime(s, '%d/%m/%Y').timetuple())",convert date string `s` in format pattern '%d/%m/%Y' into a timestamp,Convert a string `s` to microtime,Create a time object from the string representation of the time.,0.42105263157894735,0.16666666666666669,0
"pd.DataFrame({'email': sf.index, 'list': sf.values})",convert a pandas series `sf` into a pandas dataframe `df` with columns `email` and `list`,create a dataframe containing the indexes of a column `Email` in pandas data frame,pd. DataFrame for the list of emails.,0.3448275862068965,0.18181818181818182,0
list_of_dicts.sort(key=operator.itemgetter('name')),How do I sort a list of dictionaries by values of the dictionary in Python?,sort a list of dictionaries `list_of_dicts` by values in descending order,Sort the list of dictionaries by key.,0.6428571428571429,0.5454545454545455,0
"requests.post('http://httpbin.org/post', json={'test': 'cheers'})",Execute a post request to url `http://httpbin.org/post` with json data `{'test': 'cheers'}`,send cookies `cookie` in a post request to url 'http://http://http://www,Make a POST request to the httpbin. org,0.42857142857142855,0.5217391304347827,0
"round(3.0005, 3)",round number 3.0005 up to 3 decimal places,round 3 precision after the decimal point,Round to nearest 3. 05,0.375,0.42857142857142855,0
len(list(yourdict.keys())),get number of keys in dictionary `yourdict`,get the number of keys in dictionary `yourdict`,Returns the number of keys in the dictionary.,0.9333333333333333,0.6666666666666666,0
any(substring in string for substring in substring_list),check if any element of list `substring_list` are in string `string`,check if any of the items in list `string` are in list `string`,Returns true if any of the substring in substring_list is in string,0.8,0.5599999999999999,0
"pd.merge(df1, df2, left_index=True, right_index=True, how='outer')",combine  dataframe `df1` and dataframe `df2` by index number,Join pandas data frame `df1` and `df2` with left join,Merge two DataFrames.,0.3157894736842105,0.0,0
"all(word in d for word in ['somekey', 'someotherkey', 'somekeyggg'])","check if  dictionary `d` contains all keys in list `['somekey', 'someotherkey', 'somekeyggg']`",check if a given key `somekey` is in a dictionary `d`,d is a dictionnary of strings,0.5217391304347826,0.1111111111111111,0
"re.sub('^((.*?cat.*?){1})cat', '\\1Bull', s)",find and replace 2nd occurrence of word 'cat' by 'Bull' in a sentence 's',remove all words which contains number from a string `cat.*`,Replace all the characters that are not a category.,0.16666666666666666,0.17391304347826086,0
print(os.environ.get('KEY_THAT_MIGHT_EXIST')),get value of the environment variable 'KEY_THAT_MIGHT_EXIST',get a environment variable `key_thousands_string`,Print the KEY_THAT_KEY environment variable.,0.47058823529411764,0.588235294117647,0
plt.gca().invert_yaxis(),reverse y-axis in pyplot,check if key 'gca' in matplotlib.pyplot,Invert the y - axis of the figure.,0.3333333333333333,0.3333333333333333,0
df[df.index.map(lambda x: x[1].endswith('0630'))],filter dataframe `df` by sub-level index '0630' in pandas,get the row names from index in a pandas data frame,Return a DataFrame with the values of the columns in the DataFrame.,0.28571428571428564,0.1818181818181818,0
element.get_attribute('innerHTML'),get html source of Selenium WebElement `element`,Get attribute 'innerHTML' from a tag `element`,Returns the inner HTML of the element.,0.2857142857142857,0.42857142857142855,0
"if ('myVar' in locals()):
    pass",check if a local variable 'myVar' exists,Check if a variable `myVar` exists in dictionary `locals`,This is a hack to avoid the problem with the code that is not in the context of a,0.75,0.07692307692307693,0
"s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']",Convert string to boolean from defined set of strings,"convert a list of string `['True', '1', 't', '",true 1 false 0 t y,0.35294117647058826,0.0,0
"sorted(list(d.items()), key=(lambda x: x[1]))",Sort dictionary `d` by value in ascending order,sort a dictionary `d` by value,Returns a sorted list of all keys in the dictionary.,0.7142857142857143,0.22222222222222224,0
"DataFrame({'count': df1.groupby(['Name', 'City']).size()}).reset_index()",convert a pandas `df1` groupby object to dataframe,sum the values in  'count' with additional column in dataframe `df1`,DataFrame for count of names,0.2105263157894737,0.15384615384615385,0
"df.to_csv(filename, date_format='%Y%m%d')",write dataframe `df` to csv file `filename` with dates formatted as yearmonthday  `%Y%m%d`,"write dataframe `df`, excluding the column name to a csv file",Writes the dataframe to a CSV file.,0.4615384615384615,0.36363636363636365,0
"json.loads('{""foo"": 42, ""bar"": ""baz""}')['bar']",extract data field 'bar' from json object,load a json data `json` into a dictionary with keys 'foo' and 'bar',JSON. parse returns 42,0.3,0.18181818181818182,0
"round(6.005, 2)",round number 6.005 up to 2 decimal places,round 6.005 to 2 precision after the decimal point,Round to nearest second,0.631578947368421,0.30769230769230765,0
os.system('msbuild project.sln /p:Configuration=Debug'),compile Visual Studio project `project.sln` from the command line through python,get the path of the python script,Runs msbuild on the system,0.2105263157894737,0.11764705882352941,0
"df['range'].replace(',', '-', inplace=True)",Python Pandas: How to replace a characters in a column of a dataframe?,replace '-' in pandas dataframe `df` with `df`,Summary Dataframe Range,0.4,0.125,0
'one' in list(d.values()),check if string `one` exists in the values of dictionary `d`,Check if key 'one' in `d`,returns true if there is only one value in the dictionary,0.5882352941176471,0.45454545454545453,0
"sorted(iter(cityPopulation.items()), key=lambda k_v: k_v[1][2], reverse=True)",reverse sort items in default dictionary `cityPopulation` by the third item in each key's list of values,Get a list of pairs of key-value sorted by values in dictionary `cityPopulation`,Returns a sorted list of city population items.,0.5,0.23076923076923078,0
"dict((k, d.get(k, '') + d1.get(k, '')) for k in keys)","combine two dictionaries `d ` and `d1`, concatenate string values with identical `keys`",create a dictionary from list of dictionaries `my_list`,d is a dict with keys and values,0.09523809523809525,0.5,0
"page = urllib.request.urlopen('http://www.google.com/')
soup = BeautifulSoup(page)",Parsing webpage 'http://www.google.com/' using BeautifulSoup,"Check the status code of url ""http://www.stackoverflow.com""",Get the page from the server,0.33333333333333326,0.0,0
{{car.date_of_manufacture | datetime}},Jinja parse datetime object `car.date_of_manufacture` to use format pattern `datetime`,get current date and time,{{{ car. date_of_manufacture | datetime,0.1111111111111111,0.5555555555555556,0
"data.loc[:, ([('one', 'a'), ('one', 'c'), ('two', 'a'), ('two', 'c')])]",select only specific columns 'a' and 'c' from a dataframe 'data' with multiindex columns,combine two columns `a` and `b` in pandas data frame,The data. loc is the location of the first element in the data list.,0.3333333333333333,0.07142857142857142,0
"pandas.read_csv(filename, sep='\t', lineterminator='\r')",reading tab-delimited csv file `filename` with pandas on mac,pandas read comma-separated CSV file `filename` and skip commented lines starting with '#',Read a CSV file into a pandas DataFrame.,0.4347826086956522,0.33333333333333326,0
"plt.plot(np.random.randn(100), np.random.randn(100), 'o', mfc='none')",do a scatter plot with empty circles,set a random number in range from 0 to 100 to a matplotlib.pyplot,Plot random values,0.09523809523809523,0.2,0
"if ('myVar' in globals()):
    pass",check if a global variable 'myVar' exists,Check if a variable `myVar` exists in dictionary `globals`,This is a hack to avoid the problem with the code that is not in the context of a,0.75,0.07692307692307693,0
"floats = map(float, s.split())",Converting string lists `s` to float list,change a string `s` separated by spaces to a list of float values,Convert a string to a list of floats,0.5,0.39999999999999997,0
datetime.datetime.now().date(),How do I convert datetime to date (in Python)?,get current date and time,Returns the current date,0.14285714285714285,0.15384615384615383,0
"re.findall('-(?!aa-|bb-)([^-]+)', string)",regular expression matching all but 'aa' and 'bb' for string `string`,find all occurrences of regex pattern '-(?!aa-|bb-` in string ',Find all - - or - bb,0.380952380952381,0.26666666666666666,0
"int('a', 16)","Convert hex string ""a"" to integer",convert hex string 'a' to decimal,a = 1 b = 2 c = 3,0.8333333333333334,0.16666666666666666,0
[int(x) for x in str(num)],converting integer `num` to list,convert a string `num` to a list of integers,Convert numbers to integers,0.42857142857142855,0.22222222222222224,0
"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]",Creating a list of dictionaries in python,create a list where each element is a dictionary with keys 'A' and 'C' from,A list of all the possible values for a given key.,0.18181818181818182,0.33333333333333326,0
"thread.start_new_thread(myfunction, ('MyStringHere', 1))",start a new thread for `myfunction` with parameters 'MyStringHere' and 1,run function `myfunction` in a virtualenv `myfunction`,Start a new thread.,0.2222222222222222,0.5333333333333333,0
"super(Instructor, self).__init__(name, year)",call parent class `Instructor` of child class constructor,inherit from class `Instructor`,Initialize Instructor with name.,0.3333333333333333,0.16666666666666666,0
re.compile('\xe2\x80\x93'),create a regular expression object with the pattern '\xe2\x80\x93',How to exclude a character from a regex group?,\ x93 \ x93 \ x93 \ x93 \ x93 \ x93 \,0.09999999999999999,0.11764705882352942,0
sorted(o.items()),Sort dictionary `o` in ascending order based on its keys and items,sort dictionary `o` by key,Returns a sorted list of the keys in the object.,0.35294117647058826,0.1818181818181818,0
"str.find('s', 15)",find the index of sub string 's' in string `str` starting from index 15,find a string by its numeric value in Python,15 is the last s,0.2608695652173913,0.3157894736842105,0
"sorted(d, key=lambda x: datetime.datetime.strptime(x, '%m-%Y'))",sort list of date strings 'd',sort a dictionary `d` by year value,Sort the data by date.,0.30769230769230765,0.3636363636363636,0
df['C'] = df['A'] + df['B'],make new column 'C' in panda dataframe by adding values from other columns 'A' and 'B',"pandas dataframe, how do i split a column 'C' into two 'A' and",C = A + B,0.3448275862068966,0.3157894736842105,0
"{f[i + 1]: [f[i], f[i + 2]] for i in range(0, len(f), 3)}","Make a dictionary from list `f` which is in the format of four sets of  ""val, key, val""",create a dictionary where each even element represents the key to the,Returns the next element in the list.,0.26666666666666666,0.24,0
[d['value'] for d in l if 'value' in d],python getting a list of value from list of dict,get a list of values with key 'value' from a list of dictionaries `l`,get all values,0.5833333333333334,0.0,0
"df.apply(lambda x: x.tolist(), axis=1)",convert rows in pandas data frame `df` into list,Get a list of all the duplicate items in a pandas data frame `df`,2 - D Fourier Transform,0.5217391304347826,0.0,0
"pat = re.compile('^\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}$')",Validate IP address using Regex,"create a regular expression that matches the pattern '^\\d{1,3,4)'",Returns a regex object that matches the given string.,0.0,0.14285714285714285,0
"[i for i, j in enumerate(myList) if 'how' in j.lower() or 'what' in j.lower()]",finding the index of elements containing substring 'how' and 'what' in a list of strings 'myList'.,Get all the items from a list of dictionaries `myList` whose values are `42`,List of all items in myList,0.3333333333333333,0.36363636363636365,0
"df = pd.read_csv('my.csv', na_values=['n/a'])",convert nan values to ‘n/a’ while reading rows from a csv `read_csv` with pandas,create pandas data frame `df` from txt file `my.csv` with column `,Read a csv file and return a pandas DataFrame,0.28571428571428575,0.39999999999999997,0
df['Date'].map(lambda t: t.date()).unique(),extract unique dates from time series 'Date' in dataframe `df`,map two columns `Date` and `df` into a list,Date. date,0.2105263157894737,0.16666666666666669,0
"[k for k, v in User._fields.items() if v.required]",Get a list of all fields in class `User` that are marked `required`,Get a list of all keys from dictionary `User_fields` where the number of occurrences of,Returns a list of all fields in the User.,0.4827586206896552,0.6363636363636364,0
"map(int, '42 0'.split())",How to split a string into integers in Python?,convert a string '42 0' to list,map function to map int to 42 0,0.375,0.11764705882352941,0
cursor.fetchone()[0],how to get a single result from a SQLite query in python?,fetch one random item from a database `cursor`,Fetch the next row from the cursor.,0.2,0.10526315789473685,0
"db.collection.find({}, {'_id': False})",Find all records from collection `collection` without extracting mongo id `_id`,insert a new field 'geolocCountry' on a database `db`,Get all the documents in the database.,0.0,0.1111111111111111,0
df = df.set_index(['TRX_DATE']),Set index equal to field 'TRX_DATE' in dataframe `df`,set multi index on columns 'TRX_date' of dataframe `df`,Returns a DataFrame with the TRX_DATE columns set to the current date.,0.6,0.4347826086956522,0
"socket.inet_ntoa(struct.pack('!L', 2130706433))",convert a number 2130706433 to ip string,convert a python dictionary `socket.py` to a tuple,Returns a string with the IPv6 address.,0.375,0.2857142857142857,0
"df.sort_values(['System_num', 'Dis'])",Sorting data in DataFrame Pandas,sort dataframe `df` based on column'system_num',Sort the data frame by system number and displacement.,0.15384615384615385,0.14285714285714285,0
"df.groupby(['A', 'B'])['C'].unique()",Return values for column `C` after group by on column `A` and `B` in dataframe `df`,group dataframe `df` where the sum of column 'A' and column 'B' are,A b c d,0.5517241379310345,0.3,0
"datetime.datetime.strptime(str_date, '%m/%d/%Y').date().isoformat()",Format a date object `str_data` into iso fomrat,convert a string into datetime using the format '%m-%d %m-%d %,datetime. datetime. strptime,0.28571428571428575,0.0,0
request.url,retrieve the path from a Flask request,get current requested url,URL of the request.,0.0,0.36363636363636365,0
datetime.datetime.now(),create a datetime with the current date & time,get current date and time,Returns the current datetime.,0.4615384615384615,0.5,0
"df = pd.read_csv('comma.csv', quotechar=""'"")",read pandas data frame csv `comma.csv` with extra commas in column specifying string delimiter `'`,create pandas dataframe `df` from txt file 'comma.csv' with column ',Read a comma - separated list of values from a CSV file.,0.3846153846153846,0.23076923076923075,0
"default_data.update({'item3': 3, })","add key ""item3"" and value ""3"" to dictionary `default_data `",add an item with key 'item3' and value 1 to the dictionary `default_data,Update the default data.,0.75,0.28571428571428575,0
{{car.date_of_manufacture.strftime('%Y-%m-%d')}},Get the date object `date_of_manufacture` of object `car` in string  format '%Y-%m-%d',format datetime in `car` as string in format `'%d_of_,{{car. date_of_manufacture. strftime,0.4615384615384615,0.38095238095238093,0
'sdfasdf'.index('cc'),find the index of sub string 'cc' in string 'sdfasdf',get the row names from index 'cc' in a pandas data frame,Return the index of the cc column in the data.,0.3636363636363636,0.5,0
[d['value'] for d in l],python getting a list of value from list of dict,get a list of values from key 'value' from a list of dictionaries `l`,Get the values of all the options in the list.,0.5833333333333334,0.20000000000000004,0
"soup.find_all('div', class_='crBlock ')",using beautifulsoup to select div blocks within html `soup`,BeautifulSoup find all 'div' elements with class,Find all crumbs.,0.25,0.0,0
"subprocess.Popen(['bash', '-c', '. foo.sh; go'])",Can a python script execute a function inside a bash script?,"hide output of subprocess `['bash', 'c', '",Open a bash shell command and return its output.,0.11764705882352942,0.19999999999999998,0
data.set_index('Date').diff(),calculat the difference between each row and the row previous to it in dataframe `data`,find the row containing index 'Date' in dataframe `data`,Return the difference between the dates in the data set.,0.4166666666666667,0.48,0
User.objects.filter(userprofile__level__gte=0),filter `Users` by field `userprofile` with level greater than or equal to `0`,Filter model 'User' where 'level' is in Django,Returns all users who have a level greater than or equal to or equal to the user profile level,0.1904761904761905,0.4375,0
root.geometry('500x500'),How can I resize the root window in Tkinter?,make a window `root` jump to the front,The 500x500 geometry.,0.35294117647058826,0.16666666666666666,0
"output = subprocess.Popen(['mycmd', 'myarg'], stdout=PIPE).communicate()[0]",How to get output of exe in python script?,print output of subprocess `mycmd` in a virtualenv `my,Run mycmd in a subprocess,0.3333333333333333,0.14285714285714285,0
set(L[0].f.items()).issubset(set(a3.f.items())),check if dictionary `L[0].f.items()` is in dictionary `a3.f.items()`,check if key `f` is a subset of dictionary `L`,Set the items in the list to the sub - set.,0.5217391304347826,0.17391304347826086,0
"dict((k, v) for d in dicts for k, v in list(d.items()))",merge dictionaries form array `dicts` in a single expression,Reverse key-value pairs in a dictionary `dicts`,Iterate over all dicts and return a new dict.,0.35294117647058826,0.2222222222222222,0
"re.findall('-(?!aa|bb)([^-]+)', string)",regular expression matching all but 'aa' and 'bb',find all occurrences of regex pattern '-(?!aa|bb)([^-]*\\2,Find all - or - bb,0.35294117647058826,0.3333333333333333,0
driver.implicitly_wait(60),selenium wait for driver `driver` 60 seconds before throwing a NoSuchElementExceptions exception,make a 60 seconds time delay,Wait 60 seconds for the driver to be ready.,0.3333333333333333,0.4761904761904762,0
"try:
    doSomething()
except:
    pass",call `doSomething()` in a try-except without handling the exception,Check the status code of url `myurl`,Do nothing if there is an element in the sequence.,0.11764705882352941,0.20000000000000004,0
"re.search('Test(.*)print', testStr, re.DOTALL)",search for regex pattern 'Test(.*)print' in string `testStr` including new line character '\n',Get all the matches from a string `teststr` if it begins with a character `,Test string.,0.21428571428571427,0.25,0
"super(Derived, cls).do(a)",Call a base class's class method `do` from derived class `Derived`,Do i do i do i do i do i do i split a class from a,Do the derived operation.,0.27586206896551724,0.25,0
l = (int(x) for x in s.split()),split a string `s` into integers,convert string `s` to list of integers,l = l + s,0.4615384615384615,0.2222222222222222,0
"sorted(list(dictionary.items()), key=lambda x: x[1])","iterate over a python dictionary, ordered by values",Get a list of pairs of key-value sorted by values in dictionary `dictionary`,Returns a sorted list of all keys in the dictionary.,0.36363636363636365,0.22222222222222224,0
pd.read_json(elevations),read json `elevations` to pandas dataframe `df`,decode JSON string `elevations` to a dictionary,Read elevations from JSON file.,0.42857142857142855,0.5,0
"sorted(list(d.items()), key=lambda k_v: k_v[1])",sorting a defaultdict `d` by value,sort a dictionary `d` by key,Returns a sorted list of all keys in d.,0.5,0.26666666666666666,0
pd.DataFrame(d),convert a list of dictionaries `d` to pandas data frame,converting dictionary `d` into a dataframe `pd`,Convert a Dataframe to a Pandas DataFrame,0.23529411764705882,0.47058823529411764,0
"q.put((-n, n))",reverse a priority queue `q` in python without using classes,put a value `n` to a dictionary `q`,Put n elements back into the queue.,0.22222222222222224,0.11764705882352941,0
"driver.find_element_by_css_selector(""a[href^='javascript']"").click()","Selenium `driver` click a hyperlink with the pattern ""a[href^='javascript']""","find element by css selector ""a"" in selenium python webdriver",Finds an element by css selector,0.1904761904761905,0.0,0
"[v for k, v in list(my_dict.items()) if 'Date' in k]",get values from a dictionary `my_dict` whose key contains the string `Date`,get a list of all values from a dictionary `my_dict` that have a key that,Returns a list of all the values in my_dict.,0.5517241379310345,0.4347826086956522,0
len(),function to get the size of object,get the number of all keys in the dictionary `d`,Returns the number of elements in the list.,0.3529411764705882,0.26666666666666666,0
request.params.getall('c'),get multiple parameters with same name from a url in pylons,get value for key 'c' in GET request  in Django,Get all c,0.1904761904761905,0.14285714285714288,0
"df.loc[(df.loc[:, (df.dtypes != object)] != 0).any(1)]",find rows with non zero values in a subset of columns where `df.dtypes` is not equal to `object` in pandas dataframe,get the first row of every two columns in dataframe `df`,Returns the location of the first occurrence of the expression in the expression tree.,0.30303030303030304,0.1111111111111111,0
p1.communicate()[0],get output from process `p1`,get a value of key `p1` from a list of dictionaries `,Send a command to the server.,0.37499999999999994,0.0,0
"dict(zip(x, y))",create a dictionary using two lists`x` and `y`,combine two lists `x` and `y` into a dictionary,zips x and y as a dictionary,0.7777777777777778,0.6250000000000001,0
print(etree.tostring(some_tag.find('strong'))),Get all texts and tags from a tag `strong` from etree tag `some_tag` using lxml,get a string of unicode characters in string `some_tag`,Print the content of some_tag,0.3076923076923077,0.18181818181818182,0
"bool(re.search('ba[rzd]', 'foobarrrr'))",return `True` if string `foobarrrr` contains regex `ba[rzd]`,search for occurrences of regex pattern 'ba' in string `ba`,Return true if the string is a valid BaZ,0.3157894736842105,0.4444444444444444,0
ord('\u3042'),get the ASCII value of a character u'あ' as an int,convert ascii value `\u3042` to int,Returns the character code of the first Unicode code point.,0.3529411764705882,0.28571428571428564,0
"ebar = plt.errorbar(x, y, yerr=err, ecolor='y')","make a line plot with errorbars, `ebar`, from data `x, y, err` and set color of the errorbars to `y` (yellow)",add a colorbar to plot `ebar` using image `x` on y `y`,Set error bar,0.4242424242424242,0.08333333333333333,0
len(items),get the size of list `items`,get the number of keys in dictionary `items`,Returns the number of items in the collection.,0.5714285714285715,0.42857142857142855,0
"plt.yscale('log', nonposy='clip')",plot a data logarithmically in y axis,remove the space between two characters `log` and `clip` in matplotlib,log scale for matplotlib,0.1111111111111111,0.0,0
"re.findall('\\S+', str1)",python split string based on regular expression,find all the sentences from a string `str1` using regex,Find all the substrings in str1.,0.11764705882352941,0.0,0
sum(d.values()),Sum of all values in a Python dict,count the number of values in dictionary `d`,Sum of all values in the dictionary.,0.375,0.6666666666666666,0
(datetime.datetime.utcnow() - datetime.timedelta(hours=11)).year,"using python's datetime module, get the year that utc-11 is currently in",get the date 7 days before the current date,Returns the current time in UTC,0.17391304347826086,0.3,0
"sum(d * 10 ** i for i, d in enumerate(x[::-1]))",Concatenate elements of a list 'x' of multiple integers to a single integer,Get all the values from a list of dictionaries `LoD`,Sums the numbers in the range 0 - 10.,0.2608695652173913,0.0,0
"re.sub('\\*\\*+', '*', text)",Replace repeated instances of a character '*' with a single instance in a string 'text',remove all words which contains number from a string `text` using regex,Remove all comments and comments from text,0.23076923076923075,0.09523809523809523,0
"df.groupby(df.columns, axis=1).sum()",Get pandas GroupBy object with sum over the rows with same column names within  dataframe `df`,calculate the mean of columns with same name in dataframe `df`,Group by columns,0.3703703703703703,0.0,0
"round(1.0005, 3)",round number 1.0005 up to 3 decimal places,round 1 to 3 decimal places,Round to nearest second,0.8,0.30769230769230765,0
"s = pd.Series(['A', 'B', 'A1R', 'B2', 'AABB4'])","Initialize a pandas series object `s` with columns `['A', 'B', 'A1R', 'B2', 'AABB4']`","convert a pandas series `['A', 'B', 'C', 'F',",A B B,0.4761904761904762,0.25,0
list('{0:0b}'.format(8)),convert decimal 8 to a list of its binary values,print a binary string `8` using string formatting,List of 8 bit numbers.,0.33333333333333326,0.4,0
"getattr(your_obj, x)",get the attribute `x` from object `your_obj`,get attribute `x` of object `your_obj`,Get the value of an attribute.,0.7999999999999999,0.42857142857142855,0
datetime.datetime.fromtimestamp(ms / 1000.0),convert `ms` milliseconds to a datetime object,convert epoch time represented as milliseconds `ms` to milliseconds,Returns a datetime object from the milliseconds since epoch.,0.5,0.5,0
df.loc[df['column_name'] != some_value],select rows whose column value in column `column_name` does not equal `some_value` in pandas data frame,get rows of dataframe `df` where column 'column_name' is not equal to,Filter out columns that are not in some_columns.,0.3870967741935484,0.2222222222222222,0
"try:
    doSomething()
except Exception:
    pass",call `doSomething()` in a try-except without handling the exception,"Check the status code of url ""https://168.x.x""",This method will try to do something on a node.,0.10000000000000002,0.20000000000000004,0
"[key for key, value in list(my_dict.items()) if set(value).intersection(lst)]",get geys of dictionary `my_dict` that contain any values from list `lst`,get a list of all keys from a dictionary `my_dict` whose values are `42,Get all keys in my_dict.,0.5714285714285715,0.3157894736842105,0
"datafile = file('example.txt')
found = False
for line in datafile:
    if (blabla in line):
        return True
return False",Search for string `blabla` in txt file 'example.txt',read txt file 'example.txt',This method is used to load the example data file.,0.5714285714285714,0.2105263157894737,0
"soup.find_all(['a', 'div'])",Find all the tags `a` and `div` from Beautiful Soup object `soup`,BeautifulSoup find all 'a' elements in HTML string `soup` with attribute,Find all the elements in the page.,0.34782608695652173,0.3157894736842105,0
"re.split('(?<=[\\.\\?!]) ', text)","Split a string `text` with comma, question mark or exclamation by non-consuming regex using look-behind",Get all the sentences from a string `text` using regex,Split text into a list of strings,0.37037037037037035,0.25,0
len(my_text) - len(my_text.rstrip('?')),count the number of trailing question marks in string `my_text`,get the length of a text `my_text`,Returns the number of characters in the text.,0.4210526315789474,0.5263157894736842,0
"re.findall('[bcdfghjklmnpqrstvwxyz]+', 'CONCERTATION', re.IGNORECASE)",find consecutive consonants in a word `CONCENTRATION` using regex,find all matches of regex pattern `[bcd}hell.com` in string `,Find all the tags in the document.,0.3,0.25,0
output = ''.join(item[0].upper() for item in input.split()),find the first letter of each element in string `input`,reverse the keys and values in a dictionary `item`,Convert a string to upper case,0.2105263157894737,0.125,0
"app.run(host='192.168.0.58', port=9000, debug=False)",run app `app` on host '192.168.0.58' and port 9000 in Flask,run flask application `app` in host '192.168.x.x',Run the app,0.5833333333333334,0.23529411764705882,0
os.environ['HOME'],"Access environment variable ""HOME""",Get the environment variable 'home',Returns the home directory of the current process.,0.6666666666666665,0.16666666666666666,0
func(*args),call a function with argument list `args`,call a function from the root class `args`,The default function to be called when the command is executed.,0.5333333333333333,0.1111111111111111,0
"df = pd.read_csv('my.csv', dtype={'my_column': np.float64}, na_values=['n/a'])",read CSV file 'my.csv' into a dataframe `df` with datatype of float for column 'my_column' considering character 'n/a' as NaN value,create pandas data frame `df` from txt file `my.csv` with column `,Read a csv file and return a pandas DataFrame.,0.3333333333333333,0.36363636363636365,0
"simplejson.dumps(dict([('%d,%d' % k, v) for k, v in list(d.items())]))","serialize dictionary `d` as a JSON formatted string with each key formatted to pattern '%d,%d'",encode list of dictionaries `l` to a json object,Simple JSON dump.,0.24000000000000005,0.10526315789473684,0
sum(v for v in list(d.values()) if v > 0),sum values greater than 0 in dictionary `d`,count the number of values in a dictionary `d`,Sum of all values in the dictionary.,0.47058823529411764,0.5333333333333333,0
ax.set_xlabel('Temperature (\u2103)'),print a celsius symbol on x axis of a plot `ax`,"set the y axis `(u.2, u.3, u.2,",Temperature axis label,0.09523809523809525,0.14285714285714288,0
"re.findall('TAA(?:[ATGC]{3})+?TAA', seq)",match regex pattern 'TAA(?:[ATGC]{3})+?TAA' on string `seq`,Get all `TAA`s only in the middle of string `TAA,Find TAA and TAA,0.28571428571428564,0.28571428571428575,0
('%.2f' % 13.9499999),limit float 13.9499999 to two decimal points,print a floating point number `13.9499999` using string formatting,A value of 13. 99499999 is a percentage of days since January 1 1970,0.22222222222222224,0.09090909090909091,0
first_name = request.args.get('firstname'),Flask get value of request variable 'firstname',get the value of key 'first' from a GET request.,Returns the first name of the user.,0.47058823529411764,0.14285714285714285,0
"parser.add_argument('--conf', nargs=2, action='append')",create variable key/value pairs with argparse,argparse add argument with flag '--conf' and argument with flag '--conf',Add the configuration options to the parser.,0.2222222222222222,0.0,0
"re.findall('[-+]?\\d*\\.\\d+|\\d+', 'Current Level: -13.2 db or 14.2 or 3')",extract floating point numbers from a string 'Current Level: -13.2 db or 14.2 or 3',"find all digits in string '6,7)' and put them to a list",Find all numbers and numbers in the string,0.13333333333333333,0.15999999999999998,0
""""""","""""".join(str(i) for i in range(100) if i % 4 in (1, 2))",generate a string of numbers separated by comma which is divisible by `4` with remainder `1` or `2`.,"Concat each values in a tuple `(34.2424, -64.2344",Returns a string with all the integers in the array.,0.07142857142857142,0.21428571428571427,0
subprocess.call('test.sh otherfunc'),call a function `otherfunc` inside a bash script `test.sh` using subprocess,Execute Shell Script from python with variable,Call otherfunc in a subprocess,0.10526315789473685,0.47058823529411764,0
"result = {k: d2.get(v) for k, v in list(d1.items())}",Compose keys from dictionary `d1` with respective values in dictionary `d2`,get rid of None values in dictionary `d1`,Get the current value of the key.,0.4210526315789474,0.0,0
"item = re.sub(' ?\\(\\w+\\)', '', item)",Remove word characters in parenthesis from string `item` with a regex,remove duplicate words from a string `item` using regex,Remove all non - word characters from item,0.6,0.5555555555555556,0
"round(1.005, 2)",round number 1.005 up to 2 decimal places,round 1.00582811585976 to 2,Round to nearest second,0.5714285714285714,0.30769230769230765,0
"df2.dropna(subset=['three', 'four', 'five'], how='all')","remove all null values from columns 'three', 'four' and 'five' of dataframe `df2`",Drop rows of pandas dataframe `df2` having NaN in column `three`,Dask DataFrame. drop NaN values,0.33333333333333337,0.2222222222222222,0
[int(d) for d in str(bin(x))[2:]],create a list containing the digits values from binary string `x` as elements,convert binary string 'x' to list of integers,x = > x,0.380952380952381,0.13333333333333336,0
